sents,topics,sentiments
thầy hướng dẫn sinh viên chủ động tìm hiểu nhiều kiến thức .,0,2
"thầy dạy nhiệt tình và thoải mái với sinh viên , hỗ trợ sinh viên rèn luyện các kỹ năng mềm .",0,2
không thông báo các buổi thực hành .,0,0
"đồ án cuối kỳ của em được giảng viên xem xét và góp ý chỉ sửa duy nhất một lỗi là hoàn thiện khi báo cáo trong năm học , nhưng đến cuối kỳ giảng viên lại cố gắng tìm ra lỗi khác để cho sinh viên rớt môn .",0,0
"giảng viên rất nhiệt tình , cho nhiều bài tập cho sinh viên , tạo điều kiện cho sinh viên chủ động trong việc học tại lớp .",0,2
giáo viên ân cần nhiệt tình .,0,2
giảng viên thiếu tâm huyết .,0,0
giảng viên bên lớp lý thuyết thì kiến thức dạy hoàn toàn khác với giảng viên lớp thực hành .,0,0
sâu sắc việc làm bài của sinh viên .,0,2
thầy ít liên hệ ứng dụng trong thực tế .,0,0
"cách giảng dạy của thầy khó hiểu , không có tài liệu cho sinh viên xem trước , thầy không cho sinh viên biết được cái nhìn tổng quan của môn học khiến sinh viên khó tiếp thu .",0,0
giảng khá tốt .,0,2
lớp vui .,0,2
đi trễ .,0,0
"môn cơ chế mã độc là môn rất hay , rất cần thiết .",1,2
"giáo viên tâm huyết , truyền đạt tốt kiến thức .",0,2
"em cảm ơn cô vì sự nhiệt tình , tận tâm .",0,2
"cô giảng dạy rất nhiệt tình , tận tâm với sinh viên .",0,2
giải nhiều ví dụ hơn nữa .,0,0
thầy dạy hay !,0,2
"những ví dụ thực tiễn của giáo viên còn ít , môn học lý thuyết nhiều .",1,0
tạo cho sinh viên khả năng suy luận trong môn học .,1,2
"tuy em ít đến lớp nhưng có bài khó hiểu em email hỏi thầy , thầy giải đáp rất tận tình , còn có demo nữa .",0,2
cô dễ tính và khá vui vẻ .,0,2
thầy hơi khó tính .,0,0
"vui vẻ , thân thiện , nhiệt tình .",0,2
bài thực hành nên mang tính chất bắt buộc hoặc khuyến khích sinh viên làm để lấy điểm cộng để tạo động lực cũng như hứng thú với bài thực hành hơn .,3,2
"lên lớp đúng giờ , giảng dạy dễ hiểu .",0,2
thầy còn bận nhiều nên chưa đảm bảo thời gian dạy .,0,0
phần thực hành không liên quan tới lý thuyết .,1,0
"nên cung cấp nhiều tài liệu học tập cho sinh viên , nhà trường cần thay đổi cách giảng dạy thực hành để sinh viên cảm thấy thích thú và học tập được nhiều khi đến lớp thực hành .",1,0
và cách dạy của thầy khá khó hiểu ?,0,0
"phần thực hành khá nặng , chạy trước lý thuyết .",1,0
giảng viên dạy tích cực .,0,2
"nhưng em góp ý là , nếu có trường hợp đó thì thầy thực hành nên giảng sơ qua trước khi làm .",0,0
"đánh giá kết quả học tập chính xác , công tâm .",0,2
em rất muốn học thầy vào kỳ sau .,0,2
hỏi thầy những kiến thức bên ngoài có liên quan tới môn học nhiều khi thầy không trả lời .,0,0
cô dạy giọng hơi đều đều cho nên dễ ngủ .,0,0
"thầy dạy rất hay , cách thầy dạy giúp sinh viên dễ hiểu bài !",0,2
nội dung .,1,1
"thầy dạy tận tâm , nhiệt tình .",0,2
thấy nên lên lớp đầy đủ hon .,0,0
luôn đúng giờ .,0,2
"cô vui tính , dạy hay , đúng giờ .",0,2
"thầy tận tâm , nhiệt huyết , luôn sẵn sàng giải đáp những câu hỏi của sinh viên .",0,2
"giảng viên giảng dạy dễ hiểu , nhiệt tình .",0,2
giáo viên cần hướng dẫn sinh viên nhiều hơn trong những vấn đề khó giải quyết .,0,0
thêm tài liệu thực tế .,1,0
"giảng viên thân thiện , cởi mở , linh hoạt trong việc xin nghỉ fraction bù .",0,2
nhiều khi không hiểu thầy đang giảng gì colondoublesurprise .,0,0
tạo nhiều hứng thú trong học tập .,0,2
cơ sở vật chất .,2,1
chỉ toàn đọc slide lý thuyết chứ không thật sự giảng dạy và không dạy phần bài tập cho sinh viên .,1,0
cách giảng dạy của giáo viên .,0,1
"thầy rất nhiệt tình , vui tính .",0,2
"giảng viên cần đưa ra ví dụ cụ thể để cho sinh viên được hiểu có thể kèm lấy mấy bài thực hành mô phỏng cho sinh viên xem để sinh viên được chứng kiến , như thế sẽ dễ hiểu bài hơn .",0,0
"thầy dạy nhiệt tình , bài tập tương đối thoải mái nên môn học này là môn niềm vui chứ không phải là gánh nặng .",0,2
ngoài bài giảng thầy còn nói thêm những hiện tượng khoa học khá hay .,0,2
tôi hài lòng .,3,2
nên tăng cường thời gian tiếp xúc các thiết bị thực tế .,1,0
"thầy rất vui vẻ và nhiệt tình , chơi ra chơi học ra học .",0,2
thầy có kiến thức rất rộng .,0,2
phần lý thuyết trên lớp mức độ kiến thức quá chênh lệch với đề thi .,0,0
giáo viên lý thuyết chưa lên lớp thì lớp thực hành đã dạy trước 2 bài khiến em không theo kịp .,0,0
thầy chém gió ghê quá colonsmallsmile .,0,0
"giảng viên rất nhiệt tình với học sinh , truyền đạt hay .",0,2
"giảng viên giáp đáp được các thắc mắc của sinh viên , giúp sinh viên hiểu rõ hơn vấn đề .",0,2
"giảng viên tận tình , nhiệt huyết .",0,2
thống nhất hình thức thi thực hành giữa các lớp với nhau .,1,0
chương trình dễ hiểu .,0,2
dạy bài hay .,0,2
cần sửa đổi lịch học thực hành nếu có thể 1 tuần 1 lần cho sinh viên .,1,0
"giảng viên giảng dạy nhiệt tình , quan tâm sinh viên .",0,2
"giảng viên truyền đạt kiến thức hiệu quả , dễ hiểu .",0,2
"giảng viên dạy dễ hiểu , dễ tiếp thu , nhiệt tình .",0,2
"cô dạy dễ hiểu , giải bài tập hướng dẫn chúng em đầy đủ , nhiệt tình .",0,2
môn học tạo cho sinh viên quá nhiều sự mơ hồ .,1,0
"giảng dạy quá mập mờ , ít lắng nghe ý kiến của sinh viên .",0,0
không hài lòng tất cả .,3,0
thầy cho nghỉ nhiều .,0,0
giảng viên cần sửa lại hệ thống wecode vì còn quá nhiều lỗi và quá rườm rà .,0,0
chuẩn bị nội dung thực hành chu đáo .,0,2
nhiều ví dụ .,0,1
khả năng truyền đạt bài rất tốt .,0,2
"cần nâng cấp phòng máy và phần mềm của phòng máy , vì tụi em dùng phần mềm 2013 nhưng phòng máy có máy chỉ có phần mêm 2008 , vì thế rất khó thích ứng và nhất là trong giờ kiểm tra .",2,0
"thầy giảng nhiệt tình , sát trọng tâm , dễ hiểu , mong thầy kỳ sau sẽ dạy môn xác xuất thống kê .",0,1
đề nghị nhà trường có thêm phòng lab để sinh viên học phần nghe được dễ dàng và có hiệu quả hơn !,2,0
"thưa , thầy luôn nhiệt tâm với sinh viên .",0,2
"giảng viên thường nghỉ đột xuất nhiều , phương pháp dạy chưa cuốn hút khiến sinh viên chưa thể tập trung vào việc học .",0,0
"thưa , em hoàn toàn hài lòng với chất lượng các buổi học của thầy và những kiến thức thầy mang lại thực sự bổ ích và phong phú .",1,2
thầy giảng bài tập thực hành đa số là thầy ngồi mở máy tính làm việc rất ít giao tiếp với sinh viên và thầy giảng rất là khó hiểu .,0,0
môn nào làm đồ án nên bỏ phần kiểm tra lý thuyết cuối kỳ .,1,0
"trang thiết bị của phòng thực hành quá cũ kỹ , bụi bặm , không được bảo trì , cập nhật , nâng cấp .",2,0
"thầy dạy nhiệt tình , tận tâm .",0,2
"sinh động nhưng không lan man , rất tập trung chuyên môn .",0,2
giáo viên không nhiệt tình và phương pháp truyền đạt kiến thức gây khó hiểu .,0,0
"sử dụng giờ lên lớp không hiệu quả , chỉ dịch slide và không nêu được ý nghĩa các phần .",0,0
mong thầy cho nhiều ví dụ hơn nữa .,0,0
kiến thức hơi ít .,1,0
"cả 3 , 4 buổi thực hành theo hình thức 2 môn này có thầy thầy này tham gia hay hường dẫn buổi nào đâu mà đánh giá , chỉ có mỗi thầy wzjwz100 thôi .",3,0
đi sâu vào vấn đề khó hơn .,3,2
thầy dạy nhiệt tình và tận tâm .,0,2
cần thêm một số dạng bài tập ạ .,1,0
cô còn cho ít bài tập .,0,0
giáo viên nhiệt tình và tâm huyết .,0,2
"dạy nhanh , sửa bài tập còn sai sót .",0,0
"nhiệt tình , bài giảng hay .",0,2
"phòng thực hành nóng , khó chịu , hệ thống máy lạnh hay gặp sự cố , cửa phòng cũng hay có vấn đề .",2,0
chi tiết .,1,1
đồng nhất một giáo trình giảng dạy .,1,0
"chị dạy hay , nhiệt tình , vui vẻ , dễ hiểu .",0,2
cần sát với thực tế hơn .,1,0
"thầy nên dạy kỹ hơn nữa , trao đổi với sinh quan qua moodle nhiều hơn để đạt được chất lượng giảng dạy và tiếp thu của sinh viên tốt hơn .",0,0
thầy giảng hơi nhanh nên còn vài chỗ khó hiểu .,0,0
phần ý kiến của em trong phần khảo sát thầy wzjwz7 em nói có liên quan đến thầy luôn .,3,1
"giảng viên giải đáp tận tình các thắc mắc của sinh viên , tạo cơ hội học tập cho sinh viên .",0,2
"cần có một định hướng rõ trong mỗi bài thực hành , tức là khi học xong thực hành thì có thể áp dụng làm một sản phẩm thực tế được .",1,0
nên đăng lên điểm thực hành hằng tuần để sinh viên tiện theo dõi .,0,0
"cô vui tính , phương pháp giản dạy rất vui mà hiệu quả .",0,2
"giảng viên nhiệt tình , vui vẻ , rất hiểu tâm lý sinh viên , luôn có các thông tin mới được cập nhật mỗi buổi học cho sinh viên .",0,2
nên sử dụng tiếng việt vì đa phần không giỏi tiếng anh .,0,0
"thầy dạy rất kỹ lưỡng , hay .",0,2
dạy nhiều nhưng hơi giảng ít .,0,0
"tuy lên lớp nhưng em không thể tiếp thu được , vì không có hứng thú với cách giảng dạy của thầy .",0,0
nên có ngoại khóa .,1,0
mỗi dạng bài thì thầy ghi ra 3 câu bài tập là ổn rồi .,1,1
"thầy wzjwz142 dạy rất hay và tận tâm , luôn giải đáp các thắc mắc của sinh viên .",0,2
các kiến thức về môn này nói chung thì em rất thích nhưng khi bắt đầu lớp học thì không giống như em nghĩ .,1,0
tỉ mỉ .,3,2
"chất lượng phòng học cần được cải thiện , cần cải thiện hệ thống điện , máy chiếu cần được cải thiện .",2,0
chỉ hướng dẫn sử dụng access không hướng dẫn sử dụng database sql .,1,0
"giảng viên nhiệt tình , đi sớm .",0,2
"rất nhiệt huyết , giảng nghe dễ hiểu .",0,2
trong bài thi có phần không được học trong chương trình học của môn học .,1,0
chỉ sơ sài rồi bắt sinh viên tự mò .,0,0
"giảng viên dạy không được cuốn hút lắm , hơi trầm .",0,0
giảng viên cung cấp nhiều tài liệu nhưng lại không có hiệu quả .,0,0
thầy giảng dạy rất tốt .,0,2
"giảng viên nhiệt tình , tận tâm với công việc , slide dễ hiểu , hoạt động học tập sôi nổi , luôn giải đáp mọi thắc mắc của sinh viên về bài học .",0,2
"giảng viên nhiệt tình , cách dạy khoa học , có cập nhật kiến thức mới bổ ích .",0,2
những kiến thức truyền đạt của thầy cô giảng viên đầy đủ và cần thiết cho sinh viên .,0,2
hy vọng thầy có thể hướng dẫn tốt hơn các kỹ năng của môn học .,0,0
thầy rất tận tâm trong công việc .,0,2
"phong cách giảng dạy tốt hay , em rất hài lòng về giảng viên .",0,2
nộp deadline bất chợt .,0,0
"nhẹ nhàng , từ tốn .",0,2
"cần dạy lý thuyết trong phòng máy để đc thử nghiệm những gì vừa học ngay sau đó , vì học lý thuyết suôn rất chán , không tiếp thu được gì , thực hành thì hầu như không liên quan tới lý thuyết .",1,0
cô rất vui tính và thoải mái .,0,2
"thầy giảng rất tuyệt , có sức thu hút lạ kỳ .",0,2
nhiều chỗ đọc mãi vẫn không thể hiểu .,0,0
thầy giảng tương đối dễ hiểu .,0,2
"về phần chấm bài thuyết trình doubledot giảng viên không chú ý chấm bài thuyết trình và xem sinh viên thuyết trình để chấm điểm mà cứ làm việc riêng khác , có khi không biết bạn kia trình bày rồi hay chưa .",0,0
"cách dạy , giọng nói buồn ngủ , không truyền đạt hết được kiến thức .",0,0
cần có nhiều ví dụ .,1,0
"cần nhiều đề thi để sinh viên có thế ôn luyện , làm quen với cấu trúc đề thi !",1,0
chuyên sâu .,3,2
"một số chỗ khó hiểu , nhưng nếu chăm chỉ tự học thì sẽ khắc phục được .",1,1
"có lẽ thầy giảng như thế thì chỉ phù hợp với người học có trình độ thạc sĩ , tiến sĩ trở lên thôi .",0,0
em mong nhà trường xem lại bài thi thi đầu vào môn anh văn của nhà trường .,1,0
thầy khá vui tính .,0,2
"trong khi đó sinh viên phải làm đồ án môn học , mọi vấn đề gặp phải nếu chờ 3 tuần để được gặp giảng viên giải đáp thì sinh viên không thể hoàn thành đúng tiến độ .",0,0
cô rất nhiệt tình trong giảng dạy .,0,2
"bài tập thầy đưa ra cho lớp hơi khó , nhưng quá đó giúp chúng em rèn luyện tư duy thuật toán .",1,0
hy vọng đây không phải là sinh viên đầu tiên phản ánh vấn đề này .,3,0
"rất đúng giờ , giờ học đầy đủ và đầy đủ những gì có trong sách .",0,2
phân bổ lịch thực hành cho hợp lý .,1,0
cập nhật thêm những cấu trúc lập trình mới !,1,0
giảng viên giảng bài không thực sự hiệu quả .,0,0
giải đề chi tiết cho sinh viên .,0,2
trao đổi trên hệ thống website môn học .,1,2
cô nên thường xuyên sử dụng các thiết bị như micro trong giờ học vì giọng cô hơi nhỏ .,0,0
lab nhiều nhưng chưa rõ ràng .,1,0
"nội dung , kiến thức khá chung chung .",1,0
thầy rất tận tâm .,0,2
"giáo viên nhiệt tình , vui vẻ .",0,2
thầy dạt rất tốt .,0,2
thầy dạy rất nhiệt huyết và rất hay .,0,2
"thầy vui vẻ , nhiệt tình , chỉ dạy kiến thức thực tế .",0,2
không có nội dung thực hành của môn học này .,0,0
kiến thức truyền đạt đến sinh viên rất tốt ạ !,0,2
"cô dạy rất có tâm , thương sinh viên .",0,2
lớp bóng chuyền nhưng lại bị bắt tập thể lực khá nhiều .,0,0
lý thuyết và môn thực hành không song song thực hành thường trước lý thuyết .,1,0
dạy nhiệt tình tâm huyết .,0,2
nâng cấp thiết bị phòng lab .,2,0
thầy sửa bài bải tập kỹ và giải lý thuyết đúng thực tế .,0,2
"nên có giáo trình cụ thể để sinh viên dễ dàng tiếp thu , mở rộng kiến thức .",1,0
"thầy già nên thường hay quên , sinh viên xin thầy up slide bài giảng nhưng lần nào thầy cũng quên .",0,0
thay đổi phương pháp dạy học để sinh viên dễ tiếp thu kiến thức hơn .,1,0
phòng học và thiết bị cần được cải thiện .,2,0
cô đến đúng giờ và giảng bài khá dễ hiểu .,0,2
chép bài nhiều .,3,0
thầy giảng dạy không thu hút cho lắm .,0,0
truyền đạt nội dung rất dễ hiểu .,0,2
giúp học sinh hiểu bài tốt .,0,2
thầy giảng đủ nội dung bài học và có chỗ lưu ý .,0,2
ghi hơi nhiều .,0,0
giảng viên rất vui vẻ .,0,2
sinh viên học xong có thể làm bài kiểm tra tốt nhưng đa số không thể giao tiếp cơ bản bằng tiếng anh .,1,0
"giảng dạy rất tốt tận tình , cẩn thận .",0,2
dùng hệ thống nộp bài tập turnitindotcom với quy định tỉ lệ sao chép không quá 30% không phù hợp !,0,0
cám ơn thầy đã giúp đỡ em .,0,1
em chưa bao giờ được thầy reply mail .,0,0
"cần xem lại những chiếc máy chiếu ở phòng wzjwz40 rất mờ so với phòng wzjwz41 , khi chiếu demo không thấy gì hết !",2,0
chăm chú bài tập .,0,1
cô sẵn sàng giảng lại bài cho cả lớp khi có phần khó hiểu .,0,2
"phòng học chất lượng còn kém phòng lab thực hành có đầu tư , máy tính tốt , còn các thiết bị thực hành đầy đủ nhưng còn hỏng hóc nhiều .",2,0
em rất hài lòng với cách thức giảng dạy của giảng viên cũng như cách thức ra bài tập cho sinh viên .,0,2
do phòng thực hành quá nhỏ nên phòng đào tạo cần chia ca thực hành chứ không nên đề các bạn kéo đến và không có chỗ ngồi .,2,0
giáo viên dạy rất hay .,0,2
"nhiệt tình , tận tâm và dễ hiểu .",0,2
"thầy dạy rất tận tâm , quan tâm đến sinh viên .",0,2
"thầy dạy hay , dễ hiểu .",0,2
thầy luôn thúc giục sinh viên thực hiện tốt vai trò trên ghế nhà trường .,0,2
"chia sẻ các kỹ năng khi làm việc , chia sẻ kinh nghiệm trong ngành , thậm chí chỉ cách mua linh kiện mà không bị chặt chém giá cả .",0,2
"bài giảng chưa sinh động , thường gây chán cho sinh viên , sinh viên không tiếp thu được nhiều về kiến thức thầy nói .",0,0
"thầy dạy rất tận tâm , thường xuyên thảo luận , giúp đỡ các em trên diễn đàn môn học .",0,2
giảng viên không có cách giải quyết gì mà vẫn cho làm bài tập nộp tại chỗ như bình thường .,0,0
"giảng viên dạy rất nhiệt tình , dễ hiểu , gần gũi với sinh viên .",0,2
"thầy tận tâm , giảng bài dễ hiểu .",0,2
giáo viên rất nhiệt tình vui vẻ .,0,2
cách dạy của thầy có sự hứng thú cao .,0,2
thiết nghĩ nhà trường cần đặt chuẩn tiếng anh đầu vào cho lớp chất lượng cao cao hơn nữa để lớp có thể thực sự học bằng tiếng anh .,1,0
giảng dạy thực tế .,0,1
chất lượng môn học tốt .,1,2
nên ôn lại lý thuyết rồi hướng dẫn kỹ thực hành .,0,0
"mục đích của môn học , có liên quan gì dến những môn học trước và sau này .",1,0
cần có giáo trình chi tiết về môn học cho sinh viên dễ nắm bắt .,1,2
chỉ có 1 điểm em không hài lòng đó là đề thi cuối kỳ vô cùng dài .,1,0
nâng cấp phòng máy thực hành .,2,0
vui vẻ tận tâm và nhiệt tình .,0,2
lớp của em do đa số các bạn trầm tính nên đối với bọn em cô là một người rất giỏi và giải đáp đầy đủ cho bọn em .,0,2
"nhiệt tình , cẩn thận , tỉ mỉ , chu đáo , truyền đạt tốt kiến thức cho sinh viên .",0,2
tận tâm và tận tình chỉ dạy của giáo viên .,0,2
cải thiện chất lượng máy chiếu .,2,0
"dạy dễ hiểu , cung cấp đầy đủ tài liệu .",0,2
phương pháp giảng dạy và truyền đạt kiến thức khá tốt .,0,2
khá nhiệt tình .,3,2
"thầy nên check mail và có trả lời mail của sinh viên , sinh viên gửi mail chẳng bao giờ thấy thầy trả lời là đã nhận được .",0,0
kiến thức hay và sự tận tâm của giảng viên .,1,2
nên giảng dạy vào ví dụ nhiều hơn .,0,0
"thầy cho chép nhiều , ít giảng bài .",0,0
"phòng học còn nhiều bụi , máy chiếu thường xuyên bị trục trặc , âm thanh của loa chưa tốt .",2,0
thầy chấm điểm khá gắt .,0,0
"đồ án cũng rất mơ hồ , không thực tế .",1,0
"cô giảng dạy rất nhiệt tình , nhanh chóng giúp sinh viên hiểu bài .",0,2
"môn học này nên thường xuyên cập nhật mới , phù hợp với lại thực tế .",1,0
cần bảo trì máy tính nhất là bàn phím và chuột .,2,0
phòng máy có vấn đề .,2,0
"dạy dễ hiểu , không bị rối .",0,0
sự tận tình với học viên .,0,2
phòng thực hành cần có một số nâng cấp nhỏ về phần mềm lập trình để sinh viên cảm thấy hứng thú hơn để đến học .,2,0
giảng viên chia thành nhiều nhóm để sinh viên thảo luận có hiệu quả .,0,0
quá kém .,0,0
đề cương đầy đủ chi tiết .,1,2
môn lập trình trên thiết bị di động nên lấy điểm đồ án thay cho thi cuối kỳ luôn chứ không nên thi cuối kỳ như hiện nay .,1,0
"cho thảo luận , làm seminar .",0,2
bơi rất vui .,3,2
"ít gì thì mình là người trẻ , năng động xíu đi , chứ đừng ngồi chỗ .",0,0
"sau khi làm xong các project của thầy thì thấy level mình tăng lên hẳn , rất quý thầy và gặp lại ở các môn sau .",0,2
"cô wzjwz258 dạy rất nhiệt tình , thoải mái .",0,2
thay vì đưa bài ra rồi bảo các bạn nộp kết quả .,1,1
"cần có những tiết ngoại khóa như giao lưu tiếng anh giữa các lớp , thực hành giao tiếp ngoài xã hội .",1,0
"thầy dạy tốt , dễ hiểu , hài nữa chứ , nói chung không khí lớp vui vẻ =) .",0,2
"giảng viên đánh giá không khách quan , có những đánh giá thiên vị , thiếu chuyên nghiệp .",0,0
"thường xuyên cho nghỉ , bù nhưng cũng báo nghỉ trên courses , không hề báo trực tiếp lên daa .",0,0
cung cấp cho sinh viên những kiến thức tổng quát về môn học .,1,2
"nhiệt tình , chu đáo .",0,2
thầy nên chiếu hết các bài tập có trong slide của thầy ạ .,0,0
hầu hết sinh viên đều ngủ gật trong lớp .,3,0
"môn học này mặc dù phòng đào tạo cho sinh viên đăng ký nhưng em không thấy sắp xếp lịch học , phòng học .",1,0
chấm điểm trên khmtdotuitdotedudotvn .,0,1
"thầy đẹp trai , vui tính , hòa đồng với học sinh .",0,2
giảng viên tuyệt vời .,0,2
trung bình .,3,1
nghỉ sinh em bé vui vẻ nha cô .,0,1
thầy nên giảng bài nhanh hơn để sinh viên có thể thực hành tốt hơn vì lý thuyết chưa kịp chương trình thực hành .,0,0
máy chiếu trong phòng quá mờ .,2,0
"theo em , trường cần trang bị lại máy chiếu , phòng học còn nóng .",2,0
cô nên cho tụi em xem thiết kế dữ liệu cũng như giao diện cũng những phầm mềm chuyên nghiệp .,0,0
"trình độ cao , biết cách khiến sinh viên tập trung , hài hước , nhiệt huyết , có tâm .",0,2
"giảng viên nhiệt tình , hoà đồng , tận tình chỉ dẫn sinh viên thực hành .",0,2
"thầy tích cực lên lớp , không nghỉ buổi nào .",0,2
một số thông tin quan trọng của môn học hoặc một số thay đổi của môn học cần thông báo đến sinh viên qua một số kênh như website môn học hoặc cổng thông tin đào tạo hoặc forum .,1,0
thầy dạy tốt mà ạ  colonhihi !,0,2
sự nhiệt tình trong quá trình giảng dạy .,0,2
"phát âm của giảng viên chưa được chuẩn lắm , thiếu quan tâm đến một số sinh viên trong lớp .",0,0
mọi thứ đều ổn .,3,1
"thầy giảng bài quá nhỏ , cách dạy quá chán và buồn ngủ .",0,0
phòng lab khoa mạng có chất lượng khá thấp .,2,0
chắc kiến thức cho sinh viên nếu mất nền tảng .,0,2
tài liệu cực kỳ dễ hiểu .,1,2
cơ sở vật chất máy tính trường cần được nâng cấp .,2,0
môn học cần vận dụng tối đa giữa lý thuyết và thực hành .,1,0
thầy giản dạy nhiệt tình tận tình chỉ bài .,0,2
"thầy giảng rất vui vẻ , cuốn hút , hướng dẫn bài tập chi tiết .",0,2
cứ theo tiến độ của chương trình môn học .,1,1
"cô xinh đẹp , dễ thương colonsmile .",0,2
hơi bắt bẻ .,0,0
phương pháp dạy học hay .,0,2
"nên có những buổi học với giảng viên nước ngoài để có môi trường thực hành giao tiếp một cách thực tế , được xem cách người người bản xứ phát âm thì sẽ tốt hơn rất nhiều .",1,0
"rất thích thầy wzjwz271 trong cách giảng dạy , thầy giảng rất dễ hiểu , nhiệt tình và vui tính trong suốt quá trình giảng dạy .",0,2
cô nên tập trung vào việc giảng dạy hơn là dành 5 - 15 phút để hỏi từng từ tiếng anh trong slide .,0,0
thương xuyên chỉ dẫn trên moodle .,0,2
"thầy dạy rất thiết thực , chương trình thực tế và lôi cuốn .",0,2
thầy dạy khá hay !,0,2
"môn này hay , tuy nhiên thời gian học quá ít , sinh viên vận dụng chưa được nhiều trong thực tế .",1,0
rèn luyện nhiều khả năng nói tiếng anh cho sinh viên .,1,2
rất tâm huyết với sinh viên .,0,2
"giảng viên giảng dễ hiểu , nhiệt tình .",0,2
"thầy dạy nhiều lý thuyết , khô khan và khó hiểu , không chú trọng giải bài tập nhiều cho lớp .",0,0
kiến thức giáo viên tốt .,0,2
sau 30 fraction 4 giảng viên không đến lớp .,0,0
đôi lúc hơi sợ .,3,0
chương trình của trường mình ngày càng không sát thực tiễn .,1,0
tuần cuối trước khi kỳ thi cuối kỳ được diễn ra thầy nghỉ mà không báo trước .,0,0
phải rõ ràng hơn về phần bài tập moodle ví dụ như điểm số .,1,0
"giảng viên nhiệt tình , tận tâm , tạo cho sinh viên chủ động tìm tòi nhiều vấn đề chuyên sâu hơn !",0,2
"giảng viên dạy hay , liên hệ thực tiễn nhiều .",0,2
"thầy chủ yếu đọc slide , ít lấy ví dụ cụ thể .",0,0
diễn đạt kỹ .,0,2
"tốt , có sự ủng hộ , giúp đỡ cao .",0,2
em không hiểu sao chương trình chất lượng cao mà lại cho bọn em học phòng kém hiệu quả như vậy .,1,0
đề nghị là cho sinh viên tuần nào cũng học hoặc sắp xếp như thế nào để sinh viên không phải bị mất bài vì lý do học cách tuần trong khi đó bài mới thì liên tục em cảm ơn .,1,0
khó nghe trong việc giao tiếp ngôn ngữ .,0,0
giảng viên nhiệt tình giảng dạy .,0,2
"chương trình học còn khá nặng vả thời gian có hạn , khó để bắt kịp .",1,0
cho ví dụ ngay sau lý thuyết giúp dễ tiếp thu .,0,2
"thầy vui vẻ , giảng dạy nhiệt tình .",0,2
thầy wzjwz109 rất nhiệt tình .,0,2
thầy dạy dễ hiểu bài tập đa dạng .,0,2
khi có thắc mắc thầy giải thích rất dễ hiểu .,0,2
"giảng viên dạy rất nhiệt tình , và luôn sẵn sàng giúp đỡ giải bài tập và trả lời các câu hỏi của từng bạn sinh viên .",0,2
"giảng viên giảng hay , kỹ càng .",0,2
sửa lại các máy chiếu điển hình là phòng wzjwz150 .,2,0
cập nhật cái mới cho sinh viên .,0,2
"có kinh nghiệm giảng dạy , vui tính .",0,2
dẫn ít ví dụ .,0,0
còn điều không thích nhất vẫn giống cái kia thôi .,1,0
nên nâng cấp hệ thống phòng thí nghiệm .,2,0
thầy rất vui tính và luôn kích thích tinh thần học hỏi ở các sinh viên .,0,2
dạy kỹ càng .,0,2
môn học có quá nhiều kiến thức chuyên sâu và yêu cầu quá cao với một trường không thuộc khối kinh tế như công nghệ thông tin .,1,0
học để làm gì !,3,0
thầy dạy một cách tận tâm .,0,2
cần thêm nhiều thiết bị hỗi trợ học tập .,2,0
"tận tình , vui vẻ .",0,2
có quan tâm đến sinh viên .,0,2
"thầy rất nhiệt tình , giảng rất hay , nhiều ví dụ thực tiễn dễ hiểu .",0,2
môn giải tích là một môn khô khan nhưng cô wzjwz261 dạy rất dễ hiểu .,0,2
"phương pháp giảng dạy , truyền đạt kiến thức hay .",0,2
ít kiểm tra trên lớp .,0,0
giáo viên giảng còn khó hiểu .,0,0
giảng dạy đầy đủ .,0,2
dạy kỹ các phần quan trọng .,1,1
giảng viên thường xuyên chia sẻ tình hình và kinh nghiệm thực tế liên quan đến môn học .,0,2
thầy dạy rất nhiệt tình và tâm huyết .,0,2
"bài tập đầy đủ , hiệu quả .",1,2
"thầy rất hiền , nhiệt tình .",0,2
em hy vọng thầy sẽ cho nhiều bài tập hơn .,0,0
giảng viên nên sửa các bài tập về nhà .,0,0
"thầy giảng bài , giải bài còn quá nhanh .",0,0
thanks !,3,1
cách diễn đạt của cô rất khó hiểu .,0,0
các thành viên khác chịu thua .,0,0
cô dạy rất tận tình và gần gũi nhưng tại tụi em lười quá .,0,2
"nên có một số bài thực hành về source code luôn , bỏ mấy bài lý thuyết linh tinh đi .",1,0
"vui vẻ , tận tâm .",0,2
"nhìn chung em hài lòng về môn học này , nên em không có ý kiến khác .",1,2
cho bài tập làm nhiều hơn điểm danh lấy điểm 5 - 10% cho bài kiểm tra trên lớp nhiều hơn .,1,0
cô giảng dạy rất hay và hiệu quả .,0,2
"cô giảng hơi lan man , khiến sinh viên bị rối trong quá trình học .",0,0
giáo viên giảng dạy rất nhiệt tình .,0,2
"đề cương vắn tắt , nên cụ thể hơn .",1,0
em hoàn toàn hài lòng về phương pháp giảng dạy này .,0,2
dạy chưa hiểu rõ bài .,0,0
"thầy vui tính , giảng bài dễ hiểu .",0,2
"em nghĩ thầy nên bổ sung hình vẽ vào slide bài giảng , hoặc ít nhất trong lúc giảng thầy rời ghế và vẽ lên bảng cho sinh viên dễ hình dung .",1,0
có lúc em còn cảm thấy có lỗi vì công sức của cô trên lớp như vậy mà mình lại làm biếng học bài .,0,1
cần hướng dẫn phương pháp lập trình rõ hơn nữa với đồ án code multiagent .,0,0
